iter	Passed	Remaining
0	0	409
1	0	336
2	0	329
3	1	318
4	1	316
5	1	300
6	2	293
7	2	287
8	2	284
9	2	279
10	3	275
11	3	275
12	3	276
13	3	274
14	4	275
15	4	275
16	4	275
17	5	273
18	5	272
19	5	273
20	5	273
21	6	273
22	6	273
23	6	272
24	7	273
25	7	272
26	7	274
27	7	272
28	8	272
29	8	273
30	8	273
31	9	278
32	9	277
33	9	276
34	10	275
35	10	274
36	10	274
37	10	275
38	11	273
39	11	273
40	11	272
41	11	271
42	12	271
43	12	271
44	12	270
45	12	269
46	13	268
47	13	268
48	13	268
49	14	268
50	14	268
51	14	267
52	14	266
53	15	265
54	15	264
55	15	263
56	15	262
57	16	262
58	16	262
59	16	261
60	16	261
61	17	260
62	17	260
63	18	269
64	18	269
65	19	269
66	19	268
67	19	269
68	20	270
69	20	270
70	20	270
71	20	269
72	21	269
73	21	268
74	21	267
75	21	266
76	22	266
77	22	265
78	22	264
79	22	264
80	23	263
81	23	263
82	23	260
83	23	260
84	24	260
85	24	259
86	24	259
87	24	258
88	25	257
89	25	257
90	25	257
91	25	256
92	26	256
93	26	255
94	26	255
95	27	254
96	27	253
97	27	253
98	27	252
99	28	252
100	28	253
101	28	253
102	29	253
103	29	252
104	29	252
105	29	251
106	30	251
107	30	251
108	30	251
109	31	250
110	31	250
111	31	250
112	31	250
113	32	249
114	32	249
115	32	248
116	32	247
117	33	247
118	33	247
119	33	246
120	33	246
121	34	245
122	34	245
123	34	245
124	35	245
125	35	245
126	35	244
127	35	244
128	36	243
129	36	243
130	36	243
131	36	242
132	37	242
133	37	242
134	37	242
135	38	241
136	38	241
137	38	241
138	38	240
139	39	240
140	40	245
141	40	244
142	40	243
143	40	243
144	41	243
145	41	242
146	41	242
147	42	242
148	42	241
149	42	241
150	42	241
151	43	240
152	43	240
153	43	240
154	43	239
155	44	239
156	44	239
157	44	238
158	45	238
159	45	238
160	45	237
161	45	236
162	46	236
163	46	236
164	46	235
165	46	235
166	47	234
167	47	234
168	47	234
169	47	233
170	48	233
171	48	233
172	48	232
173	48	232
174	49	232
175	49	231
176	49	231
177	50	231
178	50	230
179	50	230
180	50	230
181	51	229
182	51	229
183	51	229
184	52	229
185	52	229
186	52	228
187	52	228
188	53	228
189	53	228
190	53	227
191	54	227
192	54	227
193	54	227
194	54	226
195	55	226
196	55	226
197	55	225
198	56	225
199	56	225
200	56	224
201	56	224
202	57	224
203	57	224
204	57	223
205	57	223
206	58	223
207	58	222
208	58	222
209	59	222
210	59	222
211	59	222
212	60	221
213	60	221
214	60	221
215	60	220
216	61	220
217	61	220
218	61	219
219	61	219
220	62	219
221	62	218
222	62	218
223	62	217
224	63	217
225	63	217
226	63	217
227	64	216
228	64	216
229	64	216
230	64	215
231	65	215
232	65	215
233	65	215
234	66	215
235	66	214
236	66	214
237	66	214
238	67	213
239	67	213
240	67	213
241	67	212
242	68	212
243	68	212
244	68	211
245	68	211
246	69	211
247	69	210
248	69	210
249	70	210
250	70	209
251	70	209
252	70	209
253	71	208
254	71	208
255	71	208
256	72	208
257	72	207
258	72	207
259	72	207
260	73	207
261	73	206
262	73	206
263	73	206
264	74	205
265	74	205
266	74	205
267	75	204
268	75	204
269	75	204
270	75	204
271	76	203
272	76	203
273	76	203
274	77	203
275	77	202
276	77	202
277	77	202
278	78	201
279	78	201
280	78	201
281	78	201
282	79	200
283	79	200
284	79	200
285	80	200
286	80	199
287	80	199
288	80	199
289	81	198
290	81	198
291	81	198
292	82	198
293	82	198
294	82	198
295	83	197
296	83	197
297	83	197
298	83	196
299	84	196
300	84	196
301	84	195
302	85	195
303	85	195
304	85	194
305	85	194
306	86	194
307	86	193
308	86	193
309	86	193
310	87	193
311	87	192
312	87	192
313	87	192
314	88	191
315	88	191
316	88	191
317	89	190
318	89	190
319	89	190
320	89	189
321	90	189
322	90	189
323	90	189
324	90	188
325	91	188
326	91	188
327	91	187
328	92	187
329	92	187
330	92	187
331	92	186
332	93	186
333	93	186
334	93	186
335	94	186
336	94	185
337	94	185
338	94	184
339	95	184
340	95	184
341	95	184
342	96	183
343	96	183
344	96	183
345	96	183
346	97	182
347	97	182
348	97	182
349	97	181
350	98	181
351	98	181
352	98	181
353	99	180
354	99	180
355	99	180
356	99	179
357	100	179
358	100	179
359	100	179
360	100	178
361	101	178
362	101	178
363	101	177
364	101	177
365	102	177
366	102	176
367	102	176
368	103	176
369	103	175
370	103	175
371	103	175
372	104	175
373	104	174
374	104	174
375	105	174
376	105	174
377	105	173
378	105	173
379	106	173
380	106	172
381	106	172
382	106	172
383	107	172
384	107	171
385	107	171
386	108	171
387	108	170
388	108	170
389	108	170
390	109	169
391	109	169
392	109	169
393	109	169
394	110	168
395	110	168
396	110	168
397	111	168
398	111	167
399	111	167
400	111	167
401	112	166
402	112	166
403	112	166
404	112	165
405	113	165
406	113	165
407	113	164
408	113	164
409	114	164
410	114	164
411	114	164
412	115	163
413	115	163
414	115	163
415	116	162
416	116	162
417	116	162
418	116	162
419	117	161
420	117	161
421	117	161
422	118	160
423	118	160
424	118	160
425	118	160
426	119	159
427	119	159
428	119	159
429	119	158
430	120	158
431	120	158
432	120	158
433	121	157
434	121	157
435	121	157
436	121	157
437	122	156
438	122	156
439	122	156
440	122	155
441	123	155
442	123	155
443	123	155
444	124	154
445	124	154
446	124	154
447	124	154
448	125	153
449	125	153
450	125	153
451	126	152
452	126	152
453	126	152
454	126	151
455	127	151
456	127	151
457	127	151
458	128	150
459	128	150
460	128	150
461	128	150
462	129	149
463	129	149
464	129	149
465	130	149
466	130	148
467	130	148
468	130	148
469	131	148
470	132	148
471	132	148
472	132	147
473	133	147
474	133	147
475	133	147
476	133	146
477	134	146
478	134	146
479	134	145
480	134	145
481	135	145
482	135	145
483	135	144
484	136	144
485	136	144
486	136	143
487	136	143
488	137	143
489	137	143
490	137	142
491	138	142
492	138	142
493	138	142
494	139	141
495	139	141
496	140	141
497	140	141
498	140	141
499	141	141
500	141	140
501	141	140
502	141	140
503	142	139
504	142	139
505	142	139
506	143	139
507	143	138
508	143	138
509	143	138
510	144	137
511	144	137
512	144	137
513	144	137
514	145	136
515	145	136
516	145	136
517	145	135
518	146	135
519	146	135
520	146	134
521	146	134
522	147	134
523	147	133
524	147	133
525	148	133
526	148	133
527	148	132
528	148	132
529	149	132
530	149	131
531	149	131
532	149	131
533	150	131
534	150	130
535	150	130
536	150	130
537	151	129
538	151	129
539	151	129
540	151	128
541	152	128
542	152	128
543	153	128
544	153	128
545	153	127
546	154	127
547	154	127
548	154	127
549	155	126
550	155	126
551	155	126
552	155	125
553	156	125
554	156	125
555	156	125
556	156	124
557	157	124
558	157	124
559	157	123
560	157	123
561	158	123
562	158	123
563	158	122
564	159	122
565	159	122
566	159	121
567	159	121
568	160	121
569	160	121
570	160	120
571	160	120
572	161	120
573	161	119
574	161	119
575	162	119
576	162	119
577	162	118
578	163	118
579	163	118
580	163	117
581	163	117
582	164	117
583	164	117
584	164	116
585	164	116
586	165	116
587	165	115
588	165	115
589	165	115
590	166	114
591	166	114
592	166	114
593	166	114
594	167	113
595	167	113
596	167	113
597	168	112
598	168	112
599	168	112
600	168	112
601	169	111
602	169	111
603	169	111
604	169	110
605	170	110
606	170	110
607	170	110
608	170	109
609	171	109
610	171	109
611	171	108
612	172	108
613	172	108
614	172	108
615	172	107
616	173	107
617	173	107
618	173	106
619	173	106
620	174	106
621	174	106
622	174	105
623	175	105
624	175	105
625	175	104
626	175	104
627	176	104
628	176	104
629	176	103
630	177	103
631	177	103
632	177	103
633	177	102
634	178	102
635	178	102
636	178	101
637	178	101
638	179	101
639	179	100
640	179	100
641	179	100
642	180	100
643	180	99
644	180	99
645	180	99
646	181	98
647	181	98
648	181	98
649	182	98
650	182	97
651	182	97
652	182	97
653	183	96
654	183	96
655	183	96
656	183	96
657	184	95
658	184	95
659	184	95
660	184	94
661	185	94
662	185	94
663	185	94
664	186	93
665	186	93
666	186	93
667	186	92
668	187	92
669	187	92
670	187	92
671	188	91
672	188	91
673	188	91
674	189	91
675	189	90
676	189	90
677	189	90
678	190	89
679	190	89
680	190	89
681	191	89
682	191	88
683	191	88
684	191	88
685	192	87
686	192	87
687	192	87
688	193	87
689	193	86
690	193	86
691	193	86
692	194	86
693	194	85
694	194	85
695	194	85
696	195	84
697	195	84
698	195	84
699	196	84
700	196	83
701	196	83
702	196	83
703	197	82
704	197	82
705	197	82
706	197	82
707	198	81
708	198	81
709	198	81
710	199	80
711	199	80
712	199	80
713	199	80
714	200	79
715	200	79
716	200	79
717	200	78
718	201	78
719	201	78
720	201	78
721	202	77
722	202	77
723	202	77
724	203	77
725	203	76
726	203	76
727	203	76
728	204	75
729	204	75
730	204	75
731	204	75
732	205	74
733	205	74
734	205	74
735	206	73
736	206	73
737	206	73
738	206	73
739	207	72
740	207	72
741	207	72
742	207	71
743	208	71
744	208	71
745	208	71
746	209	70
747	209	70
748	209	70
749	210	70
750	210	69
751	210	69
752	211	69
753	211	68
754	211	68
755	211	68
756	212	68
757	212	67
758	212	67
759	213	67
760	213	66
761	213	66
762	213	66
763	214	66
764	214	65
765	214	65
766	214	65
767	215	64
768	215	64
769	215	64
770	215	64
771	216	63
772	216	63
773	216	63
774	216	62
775	217	62
776	217	62
777	217	62
778	217	61
779	218	61
780	218	61
781	218	60
782	218	60
783	219	60
784	219	60
785	219	59
786	219	59
787	220	59
788	220	58
789	220	58
790	220	58
791	221	58
792	221	57
793	221	57
794	222	57
795	222	56
796	222	56
797	222	56
798	223	56
799	223	55
800	223	55
801	223	55
802	224	54
803	224	54
804	224	54
805	225	54
806	225	53
807	225	53
808	225	53
809	226	53
810	226	52
811	226	52
812	226	52
813	227	51
814	227	51
815	227	51
816	228	51
817	228	50
818	228	50
819	228	50
820	229	49
821	229	49
822	229	49
823	229	49
824	230	48
825	230	48
826	230	48
827	231	47
828	231	47
829	231	47
830	231	47
831	232	46
832	232	46
833	232	46
834	232	46
835	233	45
836	233	45
837	233	45
838	233	44
839	234	44
840	234	44
841	234	44
842	235	43
843	235	43
844	235	43
845	235	42
846	236	42
847	236	42
848	236	42
849	236	41
850	237	41
851	237	41
852	237	40
853	237	40
854	238	40
855	238	40
856	238	39
857	238	39
858	239	39
859	239	38
860	239	38
861	239	38
862	240	38
863	240	37
864	240	37
865	240	37
866	241	37
867	241	36
868	241	36
869	242	36
870	242	35
871	242	35
872	242	35
873	243	35
874	243	34
875	243	34
876	243	34
877	244	33
878	244	33
879	244	33
880	245	33
881	245	32
882	245	32
883	245	32
884	246	31
885	246	31
886	246	31
887	246	31
888	247	30
889	247	30
890	247	30
891	247	30
892	248	29
893	248	29
894	248	29
895	249	28
896	249	28
897	249	28
898	249	28
899	250	27
900	250	27
901	250	27
902	250	26
903	251	26
904	251	26
905	251	26
906	252	25
907	252	25
908	252	25
909	252	25
910	253	24
911	253	24
912	253	24
913	254	23
914	254	23
915	254	23
916	254	23
917	255	22
918	255	22
919	255	22
920	255	21
921	256	21
922	256	21
923	256	21
924	257	20
925	257	20
926	257	20
927	257	20
928	258	19
929	258	19
930	258	19
931	259	18
932	259	18
933	259	18
934	259	18
935	260	17
936	260	17
937	260	17
938	260	16
939	261	16
940	261	16
941	261	16
942	262	15
943	262	15
944	262	15
945	262	15
946	263	14
947	263	14
948	263	14
949	264	13
950	264	13
951	264	13
952	264	13
953	265	12
954	265	12
955	265	12
956	266	11
957	266	11
958	266	11
959	266	11
960	267	10
961	267	10
962	267	10
963	267	10
964	268	9
965	268	9
966	268	9
967	269	8
968	269	8
969	269	8
970	269	8
971	270	7
972	270	7
973	270	7
974	270	6
975	271	6
976	271	6
977	271	6
978	272	5
979	272	5
980	272	5
981	272	5
982	273	4
983	273	4
984	273	4
985	273	3
986	274	3
987	274	3
988	274	3
989	275	2
990	275	2
991	275	2
992	275	1
993	276	1
994	276	1
995	276	1
996	277	0
997	277	0
998	277	0
999	277	0
